"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.438069473E0,-2.603999901E1,-5.879999638E0,-3.821999741E1,4.661999727E1
2.446065079E0,-2.568000031E1,-5.519999981E0,-3.881999969E1,4.687136857E1
2.453938614E0,-2.573999977E1,-5.400000095E0,-3.911999893E1,4.713896377E1
2.461934219E0,-2.585999870E1,-5.579999924E0,-3.918000031E1,4.727524041E1
2.469899307E0,-2.651999855E1,-5.639999866E0,-3.900000000E1,4.749863073E1
2.477925430E0,-2.669999886E1,-6.119999886E0,-3.827999878E1,4.707125072E1
2.485921036E0,-2.663999939E1,-6.179999828E0,-3.804000092E1,4.685001211E1
2.493825088E0,-2.681999969E1,-6.000000000E0,-3.797999954E1,4.688062232E1
2.501790176E0,-2.657999992E1,-5.759999752E0,-3.845999908E1,4.710462316E1
2.509694229E0,-2.634000015E1,-5.699999809E0,-3.881999969E1,4.725757063E1
2.517659317E0,-2.603999901E1,-5.339999676E0,-3.911999893E1,4.729663266E1
