"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.383146399E0,2.123999977E1,1.511999989E1,-4.115999985E1,4.872265976E1
2.391080969E0,2.105999947E1,1.463999939E1,-4.061999893E1,4.803995704E1
2.399015540E0,2.118000031E1,1.517999935E1,-4.020000076E1,4.790683516E1
2.407041663E0,2.160000038E1,1.542000008E1,-4.073999786E1,4.862184535E1
2.414945715E0,2.165999985E1,1.565999985E1,-4.079999924E1,4.877531267E1
2.422941321E0,2.171999931E1,1.613999939E1,-4.097999954E1,4.910823060E1
2.430875891E0,2.184000015E1,1.577999973E1,-4.134000015E1,4.934561390E1
2.438810462E0,2.142000008E1,1.559999943E1,-4.091999817E1,4.875061677E1
2.446775549E0,2.142000008E1,1.547999954E1,-4.073999786E1,4.856124190E1
2.454679602E0,2.142000008E1,1.559999943E1,-4.091999817E1,4.875061677E1
2.462614173E0,2.147999954E1,1.559999943E1,-4.091999817E1,4.877700906E1
2.470548743E0,2.177999878E1,1.596000004E1,-4.079999924E1,4.892575892E1
2.478483313E0,2.184000015E1,1.607999992E1,-4.079999924E1,4.899175382E1
2.486509436E0,2.177999878E1,1.547999954E1,-4.050000000E1,4.852060112E1
2.494413489E0,2.177999878E1,1.547999954E1,-4.061999893E1,4.862080877E1
2.502409094E0,2.184000015E1,1.505999947E1,-4.043999863E1,4.836509774E1
2.510313147E0,2.165999985E1,1.500000000E1,-4.007999802E1,4.796417240E1
2.518278235E0,2.160000038E1,1.523999977E1,-4.013999939E1,4.806284595E1
2.526304358E0,2.195999908E1,1.535999966E1,-4.013999939E1,4.826376177E1
2.534208411E0,2.195999908E1,1.553999996E1,-4.043999863E1,4.857084154E1
2.542142981E0,2.219999886E1,1.523999977E1,-4.068000031E1,4.878483337E1
2.550138587E0,2.226000023E1,1.535999966E1,-4.073999786E1,4.889974055E1
2.558073157E0,2.147999954E1,1.475999928E1,-4.037999725E1,4.806029689E1
2.566038245E0,2.129999924E1,1.457999992E1,-4.020000076E1,4.777349084E1
2.573942298E0,2.087999916E1,1.457999992E1,-4.037999725E1,4.773986742E1
2.581876868E0,2.087999916E1,1.469999981E1,-4.020000076E1,4.762461990E1
